% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,2,88.0578009258,95.0610532407,95.0610532407,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,20,0,1,0,20.0,0.0,20.0,0,0,1,246.814467593,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,246.814467593,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,246.814467593,0,0,valid
1,36,0,1,0,36.0,0.0,36.0,0,0,1,4.06728009274,4.06728009274,4.06728009274,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,4.06728009274,4.06728009274,4.06728009274,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,30,0,1,0,30.0,0.0,30.0,0,0,1,246.814467593,0,0,valid
3,6,2,3,2,2.0,0.666666666667,2.0,1.0,0,2,88.0578009258,0,0,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,246.814467593,0,0,valid
3,51,5,3,2,17.0,1.66666666667,17.0,2.5,0,2,14.9328935184,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,39,0,1,0,39.0,0.0,39.0,0,0,1,16.1641087965,0,0,valid
2,10,5,2,1,5.0,2.5,5.0,5.0,1,2,88.0578009258,95.0610532407,95.0610532407,valid
2,10,1,2,1,5.0,0.5,5.0,1.0,0,2,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,88.0578009258,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,113.017581019,0,0,valid
1,21,0,1,0,21.0,0.0,21.0,0,0,1,4.06728009274,4.06728009274,4.06728009274,bugged
1,4,0,1,0,4.0,0.0,4.0,0,0,1,246.814467593,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,2,88.0578009258,0,0,bugged
1,6,0,1,0,6.0,0.0,6.0,0,0,1,246.814467593,0,0,valid
2,2,2,2,2,1.0,1.0,1.0,1.0,0,2,14.4056250001,0,0,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,88.0578009258,0,0,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,6,0,1,0,6.0,0.0,6.0,0,0,1,246.814467593,0,0,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,246.814467593,0,0,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,36.2228240739,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
2,22,11,2,1,11.0,5.5,11.0,11.0,1,2,88.0578009258,95.0610532407,95.0610532407,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,88.0578009258,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
1,40,0,1,0,40.0,0.0,40.0,0,0,1,16.1641087965,0,0,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,88.0578009258,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,246.814467593,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,19,5,2,1,9.5,2.5,9.5,5.0,0,2,88.0578009258,0,0,valid
1,0,3,0,1,0.0,3.0,0,3.0,0,1,36.1082523149,0,0,valid
1,0,3,0,1,0.0,3.0,0,3.0,0,1,4.06728009274,4.06728009274,4.06728009274,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
2,3,4,2,2,1.5,2.0,1.5,2.0,0,2,36.1082523149,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,14.4056250001,0,0,valid
2,19,2,2,1,9.5,1.0,9.5,2.0,0,2,88.0578009258,0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,36.2228240739,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,14.4056250001,0,0,bugged
1,13,0,1,0,13.0,0.0,13.0,0,0,1,246.814467593,0,0,valid
2,19,2,2,1,9.5,1.0,9.5,2.0,0,1,14.4056250001,0,0,bugged
