% []
@RELATION base

@ATTRIBUTE tot_changes_bugged NUMERIC
@ATTRIBUTE sum_insert_bugged NUMERIC
@ATTRIBUTE sum_delet_buggeds NUMERIC
@ATTRIBUTE count_insert_bugged NUMERIC
@ATTRIBUTE count_delets_bugged NUMERIC
@ATTRIBUTE avg_insert_bugged NUMERIC
@ATTRIBUTE avg_delets_bugged NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
0,0,0,0,0,0,0,0,0,valid
2,43,115,2,2,21.5,57.5,21.5,57.5,valid
0,0,0,0,0,0,0,0,0,valid
4,76,156,4,4,19.0,39.0,19.0,39.0,valid
1,12,8,1,1,12.0,8.0,12.0,8.0,valid
5,513,190,5,5,102.6,38.0,102.6,38.0,bugged
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,323,2,1,1,323.0,2.0,323.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
3,59,20,3,3,19.6666666667,6.66666666667,19.6666666667,6.66666666667,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,99,2,1,1,99.0,2.0,99.0,2.0,valid
1,20,20,1,1,20.0,20.0,20.0,20.0,valid
3,109,10,3,3,36.3333333333,3.33333333333,36.3333333333,3.33333333333,valid
0,0,0,0,0,0,0,0,0,valid
6,1566,153,6,6,261.0,25.5,261.0,25.5,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
14,921,769,14,14,65.7857142857,54.9285714286,65.7857142857,54.9285714286,bugged
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
2,247,10,2,2,123.5,5.0,123.5,5.0,valid
21,1672,671,21,21,79.619047619,31.9523809524,79.619047619,31.9523809524,bugged
1,12,2,1,1,12.0,2.0,12.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,valid
1,2,4,1,1,2.0,4.0,2.0,4.0,valid
1,255,2,1,1,255.0,2.0,255.0,2.0,valid
7,157,116,7,7,22.4285714286,16.5714285714,22.4285714286,16.5714285714,bugged
3,144,144,3,3,48.0,48.0,48.0,48.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,135,2,1,1,135.0,2.0,135.0,2.0,valid
1,8,8,1,1,8.0,8.0,8.0,8.0,valid
0,0,0,0,0,0,0,0,0,valid
1,87,2,1,1,87.0,2.0,87.0,2.0,valid
2,24,4,2,2,12.0,2.0,12.0,2.0,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,valid
47,2486,1456,47,47,52.8936170213,30.9787234043,52.8936170213,30.9787234043,bugged
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
3,173,19,3,3,57.6666666667,6.33333333333,57.6666666667,6.33333333333,valid
3,143,12,3,3,47.6666666667,4.0,47.6666666667,4.0,valid
