% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,2462,2,1,1,2462.0,2.0,2462.0,2.0,0,1,4.06728009274,4.06728009274,4.06728009274,bugged
1,1892,2,1,1,1892.0,2.0,1892.0,2.0,0,1,246.814467593,0,0,valid
1,912,2,1,1,912.0,2.0,912.0,2.0,0,1,4.06728009274,4.06728009274,4.06728009274,valid
2,155,22,2,2,77.5,11.0,77.5,11.0,0,2,88.0578009258,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,343,2,1,1,343.0,2.0,343.0,2.0,0,1,246.814467593,0,0,valid
2,303,18,2,2,151.5,9.0,151.5,9.0,0,2,88.0578009258,0,0,valid
2,707,7,2,2,353.5,3.5,353.5,3.5,0,2,88.0578009258,0,0,valid
1,812,2,1,1,812.0,2.0,812.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,335,14,3,3,111.666666667,4.66666666667,111.666666667,4.66666666667,0,2,15.4067013888,0,0,valid
3,215,34,3,3,71.6666666667,11.3333333333,71.6666666667,11.3333333333,0,2,14.9328935184,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,742,2,1,1,742.0,2.0,742.0,2.0,0,1,246.814467593,0,0,valid
1,2757,2,1,1,2757.0,2.0,2757.0,2.0,0,1,246.814467593,0,0,valid
1,732,2,1,1,732.0,2.0,732.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,1172,2,1,1,1172.0,2.0,1172.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,4336,762,3,3,1445.33333333,254.0,1445.33333333,254.0,0,2,15.4067013888,0,0,bugged
1,159,2,1,1,159.0,2.0,159.0,2.0,0,1,14.9328935184,0,0,valid
2,179,6,2,2,89.5,3.0,89.5,3.0,0,2,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,115,66,3,3,38.3333333333,22.0,38.3333333333,22.0,2,2,15.460127315,15.460127315,15.460127315,valid
1,627,2,1,1,627.0,2.0,627.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,99,2,1,1,99.0,2.0,99.0,2.0,0,1,246.814467593,0,0,valid
2,43,39,2,2,21.5,19.5,21.5,19.5,0,1,15.4067013888,0,0,valid
1,937,2,1,1,937.0,2.0,937.0,2.0,0,1,246.814467593,0,0,valid
2,151,6,2,2,75.5,3.0,75.5,3.0,0,2,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
5,155,157,5,5,31.0,31.4,31.0,31.4,0,2,14.4056250001,0,0,valid
2,774,54,2,2,387.0,27.0,387.0,27.0,0,2,88.0578009258,0,0,valid
2,103,6,2,2,51.5,3.0,51.5,3.0,0,2,88.0578009258,0,0,valid
5,1101,57,5,5,220.2,11.4,220.2,11.4,0,2,14.9328935184,0,0,bugged
1,367,2,1,1,367.0,2.0,367.0,2.0,0,1,4.06728009274,4.06728009274,4.06728009274,valid
2,295,10,2,2,147.5,5.0,147.5,5.0,0,2,15.4067013888,0,0,bugged
2,55,31,2,2,27.5,15.5,27.5,15.5,0,2,14.4056250001,0,0,bugged
1,632,2,1,1,632.0,2.0,632.0,2.0,0,1,246.814467593,0,0,valid
1,191,2,1,1,191.0,2.0,191.0,2.0,0,1,246.814467593,0,0,valid
6,381,317,6,6,63.5,52.8333333333,63.5,52.8333333333,3,2,4.06728009274,4.06728009274,4.06728009274,bugged
2,311,66,2,2,155.5,33.0,155.5,33.0,0,2,88.0578009258,0,0,valid
1,351,2,1,1,351.0,2.0,351.0,2.0,0,1,3.09415509272,0,0,valid
4,1037,38,4,4,259.25,9.5,259.25,9.5,0,2,14.9328935184,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,19,19,2,2,9.5,9.5,9.5,9.5,1,2,4.06728009274,4.06728009274,4.06728009274,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,207,2,1,1,207.0,2.0,207.0,2.0,0,1,246.814467593,0,0,valid
3,793,19,3,3,264.333333333,6.33333333333,264.333333333,6.33333333333,0,2,15.4067013888,0,0,bugged
3,577,18,3,3,192.333333333,6.0,192.333333333,6.0,0,2,15.4067013888,0,0,valid
1,472,2,1,1,472.0,2.0,472.0,2.0,0,1,246.814467593,0,0,valid
1,211,2,1,1,211.0,2.0,211.0,2.0,0,1,14.4056250001,0,0,valid
1,757,2,1,1,757.0,2.0,757.0,2.0,0,1,246.814467593,0,0,valid
2,151,14,2,2,75.5,7.0,75.5,7.0,0,2,88.0578009258,0,0,valid
1,882,2,1,1,882.0,2.0,882.0,2.0,0,1,246.814467593,0,0,valid
1,772,2,1,1,772.0,2.0,772.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
4,1034,459,4,4,258.5,114.75,258.5,114.75,0,2,15.4067013888,0,0,valid
2,259,18,2,2,129.5,9.0,129.5,9.0,0,2,88.0578009258,0,0,valid
2,526,16,2,2,263.0,8.0,263.0,8.0,0,2,88.0578009258,0,0,valid
2,195,18,2,2,97.5,9.0,97.5,9.0,0,2,88.0578009258,0,0,valid
1,12,12,1,1,12.0,12.0,12.0,12.0,0,1,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,2617,2,1,1,2617.0,2.0,2617.0,2.0,0,1,246.814467593,0,0,valid
1,219,2,1,1,219.0,2.0,219.0,2.0,0,1,246.814467593,0,0,valid
