% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE tot_changes_bugged_Methods NUMERIC
@ATTRIBUTE sum_insert_bugged_Methods NUMERIC
@ATTRIBUTE sum_delet_buggeds_Methods NUMERIC
@ATTRIBUTE count_insert_bugged_Methods NUMERIC
@ATTRIBUTE count_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
2,6,1,2,1,3.0,0.5,3.0,1.0,0,1,221.993611111,0,0,2,6,1,2,1,3.0,0.5,3.0,1.0,0,1,629,12279435.6833,-4907985.26859,0,0,0,0,0,0,0,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,1457.15842593,0,0,1,11,0,1,0,11.0,0.0,11.0,0,0,1,1671,27010994.8247,16028.7426852,0,0,0,0,0,0,0,0,0,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,1457.16361111,0,0,1,9,0,1,0,9.0,0.0,9.0,0,0,1,949,22099904.8099,13114.4725,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1457.16361111,0,0,1,5,0,1,0,5.0,0.0,5.0,0,0,1,949,12277724.8944,7285.81805556,0,0,0,0,0,0,0,0,0,valid
2,9,3,2,1,4.5,1.5,4.5,3.0,0,1,1414.9278588,0,0,2,9,3,2,1,4.5,1.5,4.5,3.0,0,1,259,14733354.3587,-14724864.7916,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.16361111,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,949,7366634.93663,4371.49083333,0,0,0,0,0,0,0,0,0,valid
2,9,1,2,1,4.5,0.5,4.5,1.0,1,1,340.970011574,340.970011574,340.970011574,2,9,1,2,1,4.5,0.5,4.5,1.0,1,1,1679,19644359.8725,-4901665.07755,1,1,1,1,1,1.0,1.0,1.0,1.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.16361111,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,949,7366634.93663,4371.49083333,0,0,0,0,0,0,0,0,0,valid
2,1,3,1,1,0.5,1.5,1.0,3.0,1,1,294.908171297,294.908171297,294.908171297,2,1,3,1,1,0.5,1.5,1.0,3.0,1,1,12,-4913433.17969,-14740814.5112,1,0,3,0,1,0.0,3.0,0,3.0,valid
3,22,5,3,2,7.33333333333,1.66666666667,7.33333333333,2.5,0,1,221.993611111,0,0,3,22,5,3,2,7.33333333333,1.66666666667,7.33333333333,2.5,0,1,643,41752356.0746,-24549633.1441,0,0,0,0,0,0,0,0,0,valid
1,21,0,1,0,21.0,0.0,21.0,0,0,1,1457.15842593,0,0,1,21,0,1,0,21.0,0.0,21.0,0,0,1,1671,51566444.6653,30600.3269444,0,0,0,0,0,0,0,0,0,valid
4,9,3,3,3,2.25,0.75,3.0,1.0,0,2,1040.50931713,0,0,4,9,3,3,3,2.25,0.75,3.0,1.0,0,2,1677,14732853.2553,-14725819.8027,0,0,0,0,0,0,0,0,0,valid
2,12,1,2,1,6.0,0.5,6.0,1.0,0,1,221.993611111,0,0,2,12,1,2,1,6.0,0.5,6.0,1.0,0,1,688,27023725.746,-4910262.47637,0,0,0,0,0,0,0,0,0,valid
1,61,0,1,0,61.0,0.0,61.0,0,0,1,1457.16361111,0,0,1,61,0,1,0,61.0,0.0,61.0,0,0,1,949,149788243.712,88886.9802778,0,0,0,0,0,0,0,0,0,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,0,1,414.037858796,0,0,2,3,3,1,1,1.5,1.5,3.0,3.0,0,1,36,-4.92913194373,-14739523.6986,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.16361111,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,949,7366634.93663,4371.49083333,0,0,0,0,0,0,0,0,0,valid
3,23,1,3,1,7.66666666667,0.333333333333,7.66666666667,1.0,1,1,221.993611111,342.031053241,342.031053241,3,23,1,3,1,7.66666666667,0.333333333333,7.66666666667,1.0,1,1,2065,54028680.4136,-4888193.57662,1,6,0,1,0,6.0,0.0,6.0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.15842593,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,1671,7366634.95219,4371.47527778,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1104.71997685,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,289,7367692.26753,3314.15993056,0,0,0,0,0,0,0,0,0,valid
4,130,36,4,2,32.5,9.0,32.5,18.0,0,1,221.993611111,0,0,4,130,36,4,2,32.5,9.0,32.5,18.0,0,1,687,230906410.774,-176834099.41,0,0,0,0,0,0,0,0,0,valid
1,35,0,1,0,35.0,0.0,35.0,0,0,1,1457.16361111,0,0,1,35,0,1,0,35.0,0.0,35.0,0,0,1,949,85944074.2607,51000.7263889,0,0,0,0,0,0,0,0,0,valid
