% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1609.42700231,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,42,7358104.05767,4828.28100694,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1933.9581713,0,0,2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,626,9809471.27407,-19611242.7269,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1933.9581713,0,0,2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,626,9809471.27079,-19611242.7237,valid
2,15,5,1,1,7.5,2.5,15.0,5.0,0,1,329.581736111,0,0,2,15,5,1,1,7.5,2.5,15.0,5.0,0,1,28,24539770.8223,-24536475.005,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.4642,-14708432.0539,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1038.64622685,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,33,7359816.4,3115.93868055,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1566.61736111,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,120,7358232.4866,4699.85208333,valid
2,16,8,2,1,8.0,4.0,8.0,8.0,0,1,1933.9581713,0,0,2,16,8,2,1,8.0,4.0,8.0,8.0,0,1,626,19618942.5578,-39222485.4635,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,1542.43472222,0,0,2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,124,7358232.4866,-4900836.83759,valid
2,12,6,2,1,6.0,3.0,6.0,6.0,0,1,1933.9581713,0,0,2,12,6,2,1,6.0,3.0,6.0,6.0,0,1,626,14714206.9183,-29416864.0976,valid
2,5,5,1,1,2.5,2.5,5.0,5.0,0,1,329.469861111,0,0,2,5,5,1,1,2.5,2.5,5.0,5.0,0,1,26,-0.559374999255,-24539812.5376,valid
1,111,0,1,0,111.0,0.0,111.0,0,0,1,1034.68140046,0,0,1,111,0,1,0,111.0,0.0,111.0,0,0,1,83,272313646.896,114849.635451,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,626,7357121.46387,-4898942.76796,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,626,7357121.46169,-4898942.76579,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,626,7357121.4613,-4898942.76539,valid
5,15,8,5,3,3.0,1.6,3.0,2.66666666667,0,3,904.10962963,0,0,5,15,8,5,3,3.0,1.6,3.0,2.66666666667,0,3,631,17167613.581,-39228003.7365,valid
