% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
2,30,14,2,1,15.0,7.0,15.0,14.0,0,1,1933.9581713,0,0,valid
2,4,3,1,1,2.0,1.5,4.0,3.0,0,1,1817.29894676,0,0,valid
2,33,16,2,1,16.5,8.0,16.5,16.0,0,1,1933.9581713,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
2,6,6,2,2,3.0,3.0,3.0,3.0,0,1,219.509525463,0,0,valid
2,6,5,2,2,3.0,2.5,3.0,2.5,0,1,329.469537037,0,0,valid
2,45,1,1,1,22.5,0.5,45.0,1.0,0,1,1295.22409722,0,0,valid
2,36,18,2,1,18.0,9.0,18.0,18.0,0,2,1245.76047454,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1034.68140046,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1609.42700231,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1034.68140046,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1609.42700231,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,259.455810185,0,0,valid
3,8,2,3,2,2.66666666667,0.666666666667,2.66666666667,1.0,0,1,938.058842592,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
2,34,17,2,1,17.0,8.5,17.0,17.0,0,2,1245.76047454,0,0,valid
2,10,5,2,1,5.0,2.5,5.0,5.0,0,1,1933.9581713,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,926.664629629,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1193.12114583,0,0,valid
2,28,7,2,1,14.0,3.5,14.0,7.0,0,2,1542.43472222,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
5,24,7,5,4,4.8,1.4,4.8,1.75,0,3,555.13912037,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1059.4987037,0,0,valid
2,10,5,2,1,5.0,2.5,5.0,5.0,0,1,1933.9581713,0,0,valid
1,0,2,0,1,0.0,2.0,0,2.0,0,1,336.62974537,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
2,36,12,2,1,18.0,6.0,18.0,12.0,0,1,329.581736111,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1084.32761574,0,0,valid
3,57,29,3,2,19.0,9.66666666667,19.0,14.5,0,2,1561.28704861,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,2,1245.76047454,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1609.42700231,0,0,valid
1,18,0,1,0,18.0,0.0,18.0,0,0,1,1059.4987037,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1566.61736111,0,0,valid
2,33,0,2,0,16.5,0.0,16.5,0,0,1,782.185219907,0,0,valid
5,126,50,5,4,25.2,10.0,25.2,12.5,0,2,1193.12114583,0,0,valid
2,6,6,2,2,3.0,3.0,3.0,3.0,1,1,219.509525463,336.647731481,336.647731481,valid
1,4,2,1,1,4.0,2.0,4.0,2.0,0,1,220.735497685,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1303.26797454,0,0,valid
6,14,8,5,4,2.33333333333,1.33333333333,2.8,2.0,1,2,1293.53137731,1609.43553241,1609.43553241,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
5,21,11,5,4,4.2,2.2,4.2,2.75,1,2,1299.40946759,1461.04090278,1461.04090278,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1034.68140046,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
5,79,37,5,3,15.8,7.4,15.8,12.3333333333,0,3,938.058842592,0,0,valid
1,33,0,1,0,33.0,0.0,33.0,0,0,1,1034.68059028,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,258.201099537,0,0,valid
3,52,28,3,2,17.3333333333,9.33333333333,17.3333333333,14.0,0,2,1026.4181713,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
3,10,6,2,2,3.33333333333,2.0,5.0,3.0,1,1,332.8171875,336.647731481,336.647731481,valid
3,16,9,3,2,5.33333333333,3.0,5.33333333333,4.5,0,2,1561.28704861,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1034.68140046,0,0,valid
2,4,2,1,1,2.0,1.0,4.0,2.0,0,1,1817.29894676,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,337.275439815,0,0,valid
2,16,1,1,1,8.0,0.5,16.0,1.0,0,1,1816.38628472,0,0,valid
3,6,4,2,2,2.0,1.33333333333,3.0,2.0,0,2,1710.40778935,0,0,valid
1,2,0,1,0,2.0,0.0,2.0,0,0,1,1199.07650463,0,0,valid
1,0,10,0,1,0.0,10.0,0,10.0,0,1,1208.95945602,0,0,valid
2,12,6,2,1,6.0,3.0,6.0,6.0,1,1,333.271782407,336.647731481,336.647731481,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,938.058842592,0,0,valid
1,6,6,1,1,6.0,6.0,6.0,6.0,0,1,219.509525463,0,0,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,1710.40778935,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,219.509525463,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
1,29,0,1,0,29.0,0.0,29.0,0,0,1,1059.4987037,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
