% []
@RELATION base

@ATTRIBUTE NCSS NUMERIC
@ATTRIBUTE FileLen NUMERIC
@ATTRIBUTE sum_ifs NUMERIC
@ATTRIBUTE len_mccab NUMERIC
@ATTRIBUTE sum_mccab NUMERIC
@ATTRIBUTE mean_mccab NUMERIC
@ATTRIBUTE var_mccab NUMERIC
@ATTRIBUTE max_mccab NUMERIC
@ATTRIBUTE sum_fanOut NUMERIC
@ATTRIBUTE mean_fanOut NUMERIC
@ATTRIBUTE median_fanOut NUMERIC
@ATTRIBUTE max_fanOut NUMERIC
@ATTRIBUTE min_fanOut NUMERIC
@ATTRIBUTE len_NPath NUMERIC
@ATTRIBUTE sum_NPath NUMERIC
@ATTRIBUTE mean_NPath NUMERIC
@ATTRIBUTE var_NPath NUMERIC
@ATTRIBUTE max_NPath NUMERIC
@ATTRIBUTE len_JavaNCSSmet NUMERIC
@ATTRIBUTE sum_JavaNCSSmet NUMERIC
@ATTRIBUTE mean_JavaNCSSmet NUMERIC
@ATTRIBUTE var_JavaNCSSmet NUMERIC
@ATTRIBUTE max_JavaNCSSmet NUMERIC
@ATTRIBUTE sum_coupl NUMERIC
@ATTRIBUTE mean_coupl NUMERIC
@ATTRIBUTE median_coupl NUMERIC
@ATTRIBUTE max_coupl NUMERIC
@ATTRIBUTE min_coupl NUMERIC
@ATTRIBUTE len_executables NUMERIC
@ATTRIBUTE sum_executables NUMERIC
@ATTRIBUTE var_executables NUMERIC
@ATTRIBUTE max_executables NUMERIC
@ATTRIBUTE len_lens NUMERIC
@ATTRIBUTE sum_lens NUMERIC
@ATTRIBUTE var_lens NUMERIC
@ATTRIBUTE max_lens NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
281,617,0.0,21.0,47.0,2.2380952381,1.89569160998,6.0,29.0,9.66666666667,5.0,23.0,1.0,21.0,59.0,2.80952380952,8.24943310658,14.0,21.0,231.0,11.0,59.619047619,28.0,11.0,5.5,5.5,9.0,2.0,21.0,202.0,56.7120181406,25.0,21.0,403.0,223.297052154,44.0,valid
25,64,0.0,4.0,5.0,1.25,0.1875,2.0,10.0,5.0,5.0,8.0,2.0,4.0,5.0,1.25,0.1875,2.0,4.0,11.0,2.75,4.1875,6.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.25,5.0,4.0,21.0,20.6875,13.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3552,6367,12.0,866.0,1364.0,1.57505773672,2.81711460406,24.0,353.0,10.696969697,11.0,25.0,3.0,866.0,34780.0,40.1616628176,326634.789108,9999.0,866.0,3352.0,3.87066974596,24.9278464337,83.0,24.0,1.26315789474,1.0,3.0,1.0,829.0,1967.0,11.6547935877,56.0,847.0,4730.0,59.6926969135,116.0,valid
77,165,2.0,8.0,21.0,2.625,5.234375,7.0,5.0,5.0,5.0,5.0,5.0,8.0,44.0,5.5,61.25,24.0,8.0,59.0,7.375,43.734375,22.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.0,41.0,18.859375,14.0,8.0,102.0,162.4375,37.0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
92,160,0.0,9.0,13.0,1.44444444444,1.58024691358,5.0,30.0,30.0,30.0,30.0,30.0,9.0,14.0,1.55555555556,2.46913580247,6.0,9.0,67.0,7.44444444444,26.9135802469,16.0,22.0,22.0,22.0,22.0,22.0,9.0,48.0,17.7777777778,13.0,9.0,104.0,77.3580246914,28.0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
6,63,0.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,0.0,-999.0,1.0,-999.0,0.0,-999.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
3,22,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,0.0,-999.0,1.0,-999.0,0.0,-999.0,valid
29,74,0.0,4.0,5.0,1.25,0.1875,2.0,7.0,7.0,7.0,7.0,7.0,4.0,5.0,1.25,0.1875,2.0,4.0,20.0,5.0,21.5,13.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,6.1875,7.0,4.0,41.0,143.6875,31.0,valid
23,237,0.0,11.0,11.0,1.0,0.0,1.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,1.0,0.0,1.0,11.0,11.0,1.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,0.0,-999.0,1.0,-999.0,0.0,-999.0,bugged
